Type,Slice,X,Y,Value,C-posZ-pos,Z-pos,T-pos,X (pixel),Y (pixel),Z (pixel)
1,1,656,429,202,1,1,1,656,429,0
1,1,701,222,169.666672,1,1,1,701,222,0
1,1,1011,515,191,1,1,1,1011,515,0
1,1,1262,392,150.666672,1,1,1,1262,392,0
1,1,1518,165,206,1,1,1,1518,165,0
1,1,1766,189,171.333328,1,1,1,1766,189,0
1,1,2216,86,0,1,1,1,2216,86,0
1,1,2385,198,138,1,1,1,2385,198,0
1,1,2711,53,0,1,1,1,2711,53,0
1,1,2286,854,120,1,1,1,2286,854,0
1,1,1939,478,196,1,1,1,1939,478,0
1,1,1448,879,163.666672,1,1,1,1448,879,0
1,1,553,800,129.333328,1,1,1,553,800,0
1,1,280,1229,255,1,1,1,280,1229,0
1,1,222,1721,110.666664,1,1,1,222,1721,0
1,1,412,2364,167.333328,1,1,1,412,2364,0
1,1,916,2241,112.666664,1,1,1,916,2241,0
1,1,1415,2290,0,1,1,1,1415,2290,0
1,1,2641,2030,161.333328,1,1,1,2641,2030,0
1,1,2591,1749,191,1,1,1,2591,1749,0
1,1,2955,1993,63.333332,1,1,1,2955,1993,0
1,1,3347,1683,122.333336,1,1,1,3347,1683,0
1,1,2282,1295,145,1,1,1,2282,1295,0
1,1,3070,1176,123.666664,1,1,1,3070,1176,0
1,1,3438,1419,85.333336,1,1,1,3438,1419,0
1,1,1088,514,50.666668,1,1,1,1088,514,0
1,1,1192,1018,250,1,1,1,1192,1018,0
1,1,2462,496,49.666668,1,1,1,2462,496,0
1,1,2466,868,56.333332,1,1,1,2466,868,0
1,1,2890,318,0,1,1,1,2890,318,0
1,1,3272,96,147,1,1,1,3272,96,0
1,1,3414,296,0,1,1,1,3414,296,0
1,1,2026,1130,0,1,1,1,2026,1130,0
1,1,2004,1264,71.333336,1,1,1,2004,1264,0
1,1,888,1502,164.666672,1,1,1,888,1502,0
1,1,1684,1196,0,1,1,1,1684,1196,0
1,1,168,972,0,1,1,1,168,972,0
1,1,1538,2108,0,1,1,1,1538,2108,0
2,2,2028,1470,0,1,2,1,2028,1470,1
2,2,2284,1328,138.666672,1,2,1,2284,1328,1
2,2,2606,1626,73,1,2,1,2606,1626,1
2,2,2450,1822,63.666668,1,2,1,2450,1822,1
2,2,2694,1804,0,1,2,1,2694,1804,1
2,2,2852,1844,0,1,2,1,2852,1844,1
2,2,2944,1316,153.333328,1,2,1,2944,1316,1
2,2,2684,1280,188.666672,1,2,1,2684,1280,1
2,2,3274,1344,94.666664,1,2,1,3274,1344,1
2,2,3246,1632,107.333336,1,2,1,3246,1632,1
2,2,3110,2108,112.666664,1,2,1,3110,2108,1
2,2,1164,2382,0,1,2,1,1164,2382,1
2,2,1478,2348,0,1,2,1,1478,2348,1
2,2,1668,2332,80,1,2,1,1668,2332,1
2,2,242,1556,96.333336,1,2,1,242,1556,1
2,2,2110,1010,54.333332,1,2,1,2110,1010,1
2,2,2384,1022,54.666668,1,2,1,2384,1022,1
2,2,2812,872,81,1,2,1,2812,872,1
2,2,2828,712,0,1,2,1,2828,712,1
2,2,3022,628,178.666672,1,2,1,3022,628,1
2,2,2412,512,158.333328,1,2,1,2412,512,1
