Type,Slice,X,Y,Value,C-posZ-pos,Z-pos,T-pos,X (pixel),Y (pixel),Z (pixel)
1,1,630,416,0,1,1,1,0.014,0.009,0
1,1,678,244,255,1,1,1,0.015,0.006,0
1,1,948,498,192,1,1,1,0.022,0.011,0
1,1,1092,516,78.333336,1,1,1,0.025,0.012,0
1,1,1264,400,147,1,1,1,0.029,0.009,0
1,1,1524,150,183,1,1,1,0.035,0.003,0
1,1,548,808,62.666668,1,1,1,0.012,0.018,0
1,1,158,962,0,1,1,1,0.004,0.022,0
1,1,1190,1010,0,1,1,1,0.027,0.023,0
1,1,1484,852,100.666664,1,1,1,0.034,0.019,0
1,1,282,1226,0,1,1,1,0.006,0.028,0
1,1,1760,172,0,1,1,1,0.04,0.004,0
1,1,2152,116,93.333336,1,1,1,0.049,0.003,0
1,1,2456,190,29,1,1,1,0.056,0.004,0
1,1,1974,418,58,1,1,1,0.045,0.009,0
1,1,2482,492,80,1,1,1,0.056,0.011,0
1,1,2278,804,95.333336,1,1,1,0.052,0.018,0
1,1,2458,856,58.333332,1,1,1,0.056,0.019,0
1,1,2028,1136,76.666664,1,1,1,0.046,0.026,0
1,1,1686,1212,113.333336,1,1,1,0.038,0.028,0
1,1,2696,66,107,1,1,1,0.061,0.001,0
1,1,2902,322,80,1,1,1,0.066,0.007,0
1,1,3024,1180,61.666668,1,1,1,0.069,0.027,0
1,1,3310,74,64.666664,1,1,1,0.075,0.002,0
1,1,3418,260,70.333336,1,1,1,0.078,0.006,0
1,1,3738,514,77.333336,1,1,1,0.085,0.012,0
1,1,3882,278,133.666672,1,1,1,0.088,0.006,0
1,1,4274,424,91,1,1,1,0.097,0.01,0
1,1,4618,1088,69,1,1,1,0.105,0.025,0
1,1,5564,72,42,1,1,1,0.126,0.002,0
1,1,5726,176,101,1,1,1,0.13,0.004,0
1,1,5944,72,108,1,1,1,0.135,0.002,0
1,1,5732,314,172,1,1,1,0.13,0.007,0
1,1,5608,316,127,1,1,1,0.127,0.007,0
1,1,5880,492,84.666664,1,1,1,0.133,0.011,0
1,1,5570,1008,39.666668,1,1,1,0.126,0.023,0
1,1,5858,1034,83,1,1,1,0.133,0.023,0
1,1,6236,712,101,1,1,1,0.142,0.016,0
1,1,6288,870,101.666664,1,1,1,0.143,0.02,0
1,1,6462,620,72,1,1,1,0.147,0.014,0
1,1,6914,1162,93.333336,1,1,1,0.157,0.026,0
1,1,7166,316,246,1,1,1,0.163,0.007,0
1,1,7364,86,86,1,1,1,0.167,0.002,0
1,1,7584,154,82.333336,1,1,1,0.172,0.003,0
1,1,7622,302,125,1,1,1,0.173,0.007,0
1,1,7714,268,150,1,1,1,0.175,0.006,0
1,1,7502,418,0,1,1,1,0.17,0.009,0
1,1,7438,592,0,1,1,1,0.169,0.013,0
1,1,7722,470,54.666668,1,1,1,0.175,0.011,0
1,1,7688,550,66,1,1,1,0.175,0.012,0
1,1,7658,616,0,1,1,1,0.174,0.014,0
1,1,7976,488,66.333336,1,1,1,0.181,0.011,0
1,1,7240,934,0,1,1,1,0.164,0.021,0
1,1,7954,1150,0,1,1,1,0.181,0.026,0
1,1,8196,100,79,1,1,1,0.186,0.002,0
1,1,8428,748,0,1,1,1,0.191,0.017,0
1,1,8458,1076,76.666664,1,1,1,0.192,0.024,0
1,1,8626,894,0,1,1,1,0.196,0.02,0
1,1,8736,782,0,1,1,1,0.198,0.018,0
1,1,8724,1184,0,1,1,1,0.198,0.027,0
1,1,8978,492,105.666664,1,1,1,0.204,0.011,0
1,1,8882,384,58,1,1,1,0.202,0.009,0
1,1,8912,260,0,1,1,1,0.202,0.006,0
1,1,9276,164,111,1,1,1,0.211,0.004,0
1,1,9480,724,47.666668,1,1,1,0.215,0.016,0
