Type,X,Y
1,2877.392977,326.1793524
1,2484.657343,501.0097125
1,2741.579705,509.695941
1,878.0847458,548.8599853
1,1629.090378,571.8200234
1,538.987234,804.497545
1,3035.95049,1162.857998
1,1683.65782,1205.151899
1,2022.073948,1250.981745
1,486.2741269,1608.102516
1,3381.038646,1672.895746
1,2622.412547,1717.326976
1,1299.507791,1866.102642
1,1114.984429,1943.309561
1,114.0899882,2017.286926
1,1440.932152,2191.24365
1,1412.287344,2301.782966
1,929.6405899,2279.988503
1,421.8803908,2353.976078
2,2112.010604,60.15935199
2,2474.68218,83.79204713
2,2849.062476,284.0034709
2,2157.705923,310.65427
2,2769.692582,327.6412268
2,828.1743679,395.4617844
2,3012.205836,613.987776
2,2824.697971,866.6927975
2,2384.710976,1022.198633
2,1671.255161,1129.284889
2,2691.207413,1238.966305
2,2024.631888,1464.499185
2,235.7223856,1564.161697
2,2296.237351,1550.841306
2,3244.470976,1624.605271
2,987.9319164,1718.601945
2,2000.579053,1850.945425
2,711.7371849,2060.568677
2,3104.697401,2098.943482
2,626.2473786,2167.853204
2,1477.487938,2331.570754
2,1659.349083,2330.717768
3,3098.153309,94.39926471
3,251.4079154,344.1445925
3,1070.429982,451.2322681
3,3117.041316,519.3299395
3,3374.03346,645.9874525
3,3309.556116,637.3766288
3,2880.223196,1001.894451
3,355.3107244,1057.160866
3,402.0403777,1238.68577
3,3075.011828,1363.482258
3,2047.013986,1620.928425
3,1884.937605,1717.9
3,2661.552493,1766.339567
3,2473.756117,2103.657441
3,1577.566412,2249.856745
4,651.7959318,597.9206037
4,3404.381369,691.4676461
4,2108.383265,763.7359184
4,1717.006144,1108.696363
4,3124.138566,1252.986784
4,606.8284127,1535.609471
4,2224.873169,1689.730013
4,2952.32232,1973.727622
4,1737.732158,2045.157916
4,810.8393917,2147.823071
4,2878.03716,2217.597498
4,3418.689121,2355.036023
4,2388.338791,2352.920858
4,1446.600656,2405.97458
4,454.2767891,2422.222264
5,1217.570694,105.2888817
5,822.5903503,344.9972342
5,2764.484945,618.5356577
5,3152.527069,592.6415313
5,2323.666986,784.3627427
5,1839.607163,977.3264853
5,3400.547305,965.0159681
5,2101.876444,995.7342747
5,3238.009828,1176.192699
5,1894.055323,1285.657167
5,3346.324247,1677.401961
5,1298.602353,1920.496078
5,1397.944674,1992.897192
5,3425.547742,2105.324204
5,2040.062814,2242.492462
6,2270.385252,118.8190647
6,1391.91006,253.8715883
6,1365.52034,633.006287
6,3183.281601,861.5979635
6,1795.134585,992.2755329
6,2782.806818,1103.374053
6,2322.194513,1188.634893
6,961.489646,1192.526386
6,81.88332114,1225.925384
6,1056.739726,1647.167704
6,2199.798937,1736.636847
6,2551.906386,1710.545815
6,665.9206015,1852.361203
6,2700.015088,2005.064211
6,2389.375084,2013.952653
6,1053.957201,1998.315594
6,1830.565818,2049.268
6,2112.256269,2091.774594
6,2527.289743,2105.680296
6,199.7675573,2174.003435
